#
#  st_thermophilus_cbc-s77_scyc 1.0 Pathways link table generated on Tue Oct 24, 2023
#
PWY-5534	propene degradation	propylene degradation
PWY-5939	pyruvate fermentation to (<i>R</i>)-acetoin II	D-acetoin biosynthesis II	pyruvic acid fermentation to (<i>R</i>)-acetoin II
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	
GLYSYN-PWY	glycine biosynthesis I	
PWY-6608	guanosine nucleotides degradation III	
PWY-6628	superpathway of L-phenylalanine biosynthesis	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
HISTSYN-PWY	L-histidine biosynthesis	
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	
PWY-5886	3-(4-hydroxyphenyl)pyruvate biosynthesis	4-hydroxyphenylpyruvic acid biosynthesis	4-hydroxyphenylpyruvate biosynthesis
PHESYN	L-phenylalanine biosynthesis I	
PWY-702	L-methionine biosynthesis II	L-methionine biosynthesis via <i>O</i>-phospho-homoserine
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
COA-PWY	coenzyme A biosynthesis I (bacteria)	CoA biosynthesis
PWY-2941	L-lysine biosynthesis II	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWY-8165	cytidylyl molybdenum cofactor sulfurylation	sulfo-cytidylyl molybdopterin cofactor biosynthesis	MCD sulfulylation
PWY0-862	(5Z)-dodecenoate biosynthesis I	(5Z)-dodec-5-enoate biosynthesis I	<i>cis</i>-dodecenoate biosynthesis I
PWY-6543	4-aminobenzoate biosynthesis I	pABA biosynthesis I	plastidial PABA biosynthesis	PABA biosynthesis in plastids	<i>p</i>-aminobenzoate biosynthesis I
TYRSYN	L-tyrosine biosynthesis I	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
PWY-5148	acyl-CoA hydrolysis	acyl-CoA thioesterase pathway
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
PWY-7205	CMP phosphorylation	
SALVPURINE2-PWY	xanthine and xanthosine salvage	
MANNCAT-PWY	D-mannose degradation I	
PWY-7289	L-cysteine biosynthesis V (mycobacteria)	
PWY-6938-1	NADH repair (prokaryotes)	
PWY-4381	fatty acid biosynthesis initiation (type II)	de novo fatty acid biosynthesis, initial reactions	fatty acid biosynthesis initiation (bacteria and plants)
PWY-8302	<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine degradation	Cys-Gly-3M3SH degradation
VALSYN-PWY	L-valine biosynthesis	
PWY-8136	NADPH repair (prokaryotes)	
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)	nicotinamide riboside salvage pathway	nicotinamide adenine dinucleotide salvage
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
PWY-6630	superpathway of L-tyrosine biosynthesis	
PWY-5041	<i>S</i>-adenosyl-L-methionine salvage II	activated methyl cycle	SAM cycle	<i>S</i>-adenosyl-L-methionine cycle II
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
HOMOSERSYN-PWY	L-homoserine biosynthesis	
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis	
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis	UDP-galactofuranose biosynthesis
PWY0-1296	purine ribonucleosides degradation	
SERDEG-PWY	L-serine degradation	
PWY-1042	glycolysis IV	glycolysis 4
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleic acid biosynthesis I	palmitoleate biosynthesis (anaerobic)
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-5695	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
GLYCEROLMETAB-PWY	glycerol degradation V	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-6131	glycerol degradation II	
PWY-5437	L-threonine degradation I	
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	
PWY-5481	pyruvate fermentation to (<i>S</i>)-lactate	pyruvic acid fermentation to L-lactic acid
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	pyridine nucleotide cycling	nicotinamide adenine dinucleotide salvage
THIOREDOX-PWY	thioredoxin pathway	
LEUSYN-PWY	L-leucine biosynthesis	
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PWY0-1021	L-alanine biosynthesis III	
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-2301	<i>myo</i>-inositol biosynthesis	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)	
PWY-5074	mevalonate degradation	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis	bis-MGD sulfulylation
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY-7664	oleate biosynthesis IV (anaerobic)	<i>cis</i>-7-hexadecenoate biosynthesis	<i>cis</i>-9-octadecenoate biosynthesis	(7<i>Z</i>)-hexadec-7-enoate biosynthesis	(9<i>Z</i>)-octadec-9-enoate biosynthesis	(7<i>Z</i>)-hexadecenoate biosynthesis	(9<i>Z</i>)-octadecenoate biosynthesis
PWY-6599	guanine and guanosine salvage II	
CITRULLINE-DEG-PWY	L-citrulline degradation	
PWY-6620	guanine and guanosine salvage I	
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	
PWY-7980	ATP biosynthesis	
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	
PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
